Id,SalePrice
1461,135619.33
1462,217865.4
1463,183581.16
1464,189833.12
1465,161212.81
1466,193369.02
1467,176314.25
1468,164648.58
1469,203948.28
1470,141391.9
1471,129001.945
1472,116863.49
1473,105225.43
1474,148102.2
1475,101682.62
1476,370578.1
1477,255155.31
1478,293162.47
1479,298828.9
1480,533848.94
1481,359289.75
1482,192715.2
1483,184458.25
1484,158866.44
1485,185708.86
1486,211034.95
1487,358396.25
1488,221151.5
1489,198188.48
1490,258093.83
1491,205072.72
1492,115673.83
1493,304594.9
1494,311182.56
1495,262389.4
1496,251658.12
1497,168092.03
1498,138628.4
1499,159793.55
1500,165858.25
1501,186603.38
1502,136660.66
1503,186247.64
1504,246649.6
1505,249350.03
1506,201453.05
1507,266614.06
1508,189107.66
1509,162128.98
1510,136296.83
1511,168610.27
1512,191053.45
1513,139503.03
1514,201944.1
1515,194442.39
1516,164446.73
1517,163937.5
1518,126704.96
1519,220924.89
1520,146520.72
1521,132188.42
1522,178946.55
1523,106311.375
1524,111363.56
1525,125272.34
1526,91003.44
1527,108543.4
1528,153836.81
1529,127504.02
1530,193596.45
1531,127597.97
1532,96095.07
1533,133606.89
1534,111594.75
1535,122950.945
1536,101070.94
1537,72771.42
1538,153800.97
1539,209245.03
1540,96581.31
1541,161178.69
1542,121352.83
1543,186190.17
1544,75787.305
1545,98345.97
1546,148541.72
1547,131554.47
1548,135696.02
1549,88296.63
1550,148843.55
1551,87333.73
1552,133564.56
1553,151232.66
1554,117297.67
1555,161104.84
1556,75620.45
1557,39995.01
1558,149120.52
1559,131988.22
1560,134385.97
1561,87672.08
1562,124998.63
1563,85784.15
1564,162338.53
1565,167255.16
1566,219106.05
1567,101802.48
1568,255868.45
1569,134430.7
1570,140242.45
1571,91708.0
1572,139524.0
1573,205279.0
1574,121686.55
1575,265299.2
1576,301914.34
1577,200257.45
1578,146146.64
1579,157839.97
1580,190370.17
1581,136723.75
1582,119499.67
1583,324240.53
1584,234792.38
1585,135299.55
1586,126402.4
1587,132251.56
1588,176195.88
1589,112233.34
1590,121714.74
1591,106237.984
1592,89975.48
1593,119029.39
1594,134507.12
1595,105968.25
1596,199137.86
1597,222555.94
1598,199056.1
1599,160476.73
1600,134673.97
1601,81515.48
1602,158290.52
1603,118644.76
1604,244715.86
1605,203834.22
1606,144614.02
1607,221349.97
1608,191499.64
1609,169448.67
1610,162248.38
1611,134866.84
1612,157127.88
1613,144025.02
1614,165071.36
1615,73547.555
1616,70216.305
1617,92899.69
1618,118612.18
1619,141276.67
1620,145762.14
1621,92950.305
1622,148971.55
1623,240809.03
1624,167201.31
1625,109810.54
1626,165795.5
1627,196944.67
1628,299700.84
1629,178146.06
1630,370028.1
1631,240043.83
1632,249950.38
1633,155116.89
1634,171036.3
1635,161590.48
1636,172445.02
1637,186021.58
1638,168088.3
1639,166756.58
1640,255215.61
1641,199397.52
1642,269439.88
1643,201261.62
1644,230314.44
1645,249425.27
1646,168050.5
1647,142490.5
1648,107712.055
1649,155648.84
1650,129514.81
1651,116782.25
1652,107088.35
1653,109471.66
1654,128346.95
1655,113283.82
1656,136621.64
1657,132873.42
1658,155194.8
1659,109697.79
1660,133972.88
1661,445313.3
1662,357788.22
1663,356414.78
1664,533896.94
1665,288165.97
1666,339212.25
1667,351226.38
1668,387614.06
1669,292156.47
1670,339960.34
1671,273742.16
1672,420649.9
1673,308351.0
1674,260271.1
1675,194908.83
1676,210629.33
1677,213983.38
1678,527752.5
1679,419522.1
1680,341274.16
1681,247187.27
1682,345258.62
1683,188989.73
1684,174561.98
1685,173162.31
1686,175362.36
1687,131870.3
1688,201013.05
1689,213352.7
1690,194562.08
1691,187500.06
1692,260172.6
1693,153737.0
1694,168764.34
1695,170980.39
1696,228564.02
1697,172609.73
1698,360185.38
1699,324238.34
1700,277108.1
1701,259972.03
1702,211153.84
1703,224843.9
1704,293336.7
1705,259348.08
1706,277601.6
1707,221562.0
1708,194228.3
1709,273545.72
1710,242238.1
1711,278166.88
1712,259548.66
1713,278121.0
1714,205882.72
1715,216182.72
1716,188343.33
1717,157846.66
1718,131503.7
1719,220741.19
1720,198999.67
1721,181099.42
1722,136280.92
1723,166827.36
1724,194312.81
1725,233912.19
1726,155543.62
1727,144684.89
1728,159843.4
1729,173564.95
1730,143122.84
1731,115735.46
1732,131572.38
1733,112821.92
1734,168376.1
1735,111678.33
1736,150014.55
1737,316550.47
1738,269340.88
1739,262030.53
1740,229863.89
1741,197121.92
1742,169514.55
1743,174243.42
1744,393978.1
1745,242905.73
1746,168402.75
1747,243958.6
1748,227168.34
1749,146437.05
1750,131647.3
1751,249078.25
1752,125454.61
1753,150367.94
1754,196689.44
1755,170289.88
1756,141562.31
1757,126414.37
1758,148468.38
1759,144965.48
1760,161356.95
1761,151071.11
1762,185830.11
1763,157873.89
1764,137172.34
1765,152378.16
1766,198177.84
1767,200310.38
1768,128719.2
1769,163296.12
1770,149877.19
1771,136485.38
1772,123059.19
1773,115402.01
1774,133057.88
1775,153589.42
1776,134282.23
1777,115559.48
1778,114055.52
1779,126277.9
1780,158110.4
1781,124770.0
1782,78785.766
1783,133993.61
1784,122362.78
1785,129534.75
1786,199923.14
1787,151094.3
1788,57005.535
1789,79403.06
1790,80296.46
1791,224209.86
1792,159328.8
1793,117745.58
1794,120481.4
1795,121367.75
1796,170316.53
1797,105640.39
1798,126155.55
1799,122557.73
1800,135445.78
1801,120119.47
1802,106493.16
1803,146171.05
1804,143217.5
1805,148600.02
1806,89269.44
1807,147688.53
1808,115748.91
1809,97574.04
1810,155604.83
1811,76770.984
1812,74043.15
1813,143445.67
1814,121872.305
1815,52260.09
1816,77527.24
1817,123090.26
1818,166747.89
1819,150563.1
1820,55587.832
1821,74945.77
1822,154774.3
1823,81428.75
1824,126724.54
1825,124917.08
1826,116188.04
1827,93922.82
1828,108527.31
1829,96841.12
1830,150300.1
1831,150046.47
1832,115877.41
1833,142417.44
1834,138169.36
1835,91671.086
1836,123103.65
1837,80608.54
1838,122844.39
1839,118650.766
1840,197349.98
1841,142025.06
1842,87429.49
1843,157317.39
1844,192515.61
1845,119679.33
1846,162797.02
1847,163801.78
1848,54065.902
1849,74004.555
1850,117236.02
1851,159558.89
1852,103395.18
1853,135682.97
1854,197931.98
1855,161676.1
1856,228522.52
1857,106437.26
1858,147345.05
1859,134278.89
1860,152277.8
1861,121283.73
1862,335031.72
1863,286959.2
1864,286991.0
1865,379862.66
1866,365259.0
1867,233858.92
1868,317780.53
1869,209762.31
1870,224417.9
1871,248707.62
1872,178186.55
1873,260350.84
1874,134365.12
1875,222120.8
1876,201598.97
1877,226925.75
1878,186473.28
1879,124898.63
1880,135397.45
1881,269968.22
1882,279614.56
1883,190334.08
1884,209821.4
1885,223701.84
1886,306803.25
1887,217869.61
1888,275144.66
1889,185730.88
1890,182751.17
1891,89615.99
1892,102819.8
1893,150990.77
1894,136350.53
1895,139874.9
1896,127676.17
1897,112406.11
1898,101057.25
1899,129426.664
1900,190215.84
1901,223527.6
1902,143899.92
1903,247218.78
1904,120729.72
1905,178579.75
1906,114258.5
1907,202240.23
1908,109382.84
1909,127545.11
1910,112790.06
1911,203951.05
1912,272580.38
1913,163286.75
1914,97413.65
1915,360487.8
1916,114067.56
1917,189828.5
1918,132681.53
1919,146663.12
1920,116890.516
1921,397964.84
1922,339140.47
1923,272114.6
1924,196997.84
1925,202337.17
1926,398198.5
1927,122844.3
1928,153999.58
1929,106577.32
1930,128639.24
1931,135428.81
1932,120440.56
1933,215213.64
1934,176530.52
1935,162040.53
1936,216283.8
1937,214114.88
1938,176287.53
1939,258008.94
1940,165774.9
1941,195759.0
1942,193407.81
1943,207709.56
1944,464532.22
1945,443350.16
1946,148342.16
1947,227343.72
1948,158495.4
1949,232952.89
1950,152468.77
1951,225965.05
1952,188239.23
1953,185063.7
1954,199795.0
1955,111316.09
1956,279836.4
1957,148216.3
1958,230771.94
1959,141819.64
1960,123185.89
1961,138209.98
1962,94613.14
1963,95930.64
1964,100329.86
1965,147920.98
1966,118336.6
1967,308460.94
1968,431689.8
1969,421672.72
1970,447377.1
1971,451977.75
1972,360875.25
1973,293701.8
1974,331756.2
1975,559975.8
1976,290708.1
1977,403703.75
1978,385506.88
1979,345643.56
1980,185250.69
1981,372260.44
1982,244678.34
1983,235739.94
1984,173273.19
1985,250619.27
1986,203134.69
1987,168093.53
1988,182633.58
1989,201320.14
1990,220949.05
1991,218396.3
1992,198871.77
1993,172089.67
1994,214046.53
1995,194725.12
1996,265109.53
1997,346743.5
1998,314243.3
1999,349890.16
2000,338991.34
2001,264212.2
2002,241772.58
2003,275878.88
2004,292685.16
2005,208025.92
2006,220354.8
2007,252973.88
